Gene Name	Accession-1	Product	Accession-2	Pathways of gene	Ontology - pathway type
rpsL	PMM1511	30S ribosomal protein S12	TX50_RS08105		
rbfA	PMM0112	30S ribosome-binding factor RbfA	TX50_RS00590		
PMM0799	PMM0799	DUF296 domain-containing protein	TX50_RS04260		
mutS	PMM1645	DNA mismatch repair protein MutS	TX50_RS08795		
larB	PMM1278	nickel pincer cofactor biosynthesis protein LarB	TX50_RS06855		
hflC	PMM0482	regulator of FtsH protease	TX50_RS02600		
PMM1495	PMM1495	DUF3493 domain-containing protein	TX50_RS08025		
umuD	PMM0936	translesion error-prone DNA polymerase V autoproteolytic subunit	TX50_RS04990		
purQ	PMM0780	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	TX50_RS04165	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // 5-aminoimidazole ribonucleotide biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis II	Superpathways // Nucleoside and Nucleotide Biosynthesis
hli1	PMM0093	high light inducible protein Hli1	TX50_RS00495		
PMM1259	PMM1259	DegT/DnrJ/EryC1/StrS family aminotransferase	TX50_RS06770		
PMM1628	PMM1628	alpha/beta fold hydrolase	TX50_RS08705		
PMM1479	PMM1479	DUF2997 domain-containing protein	TX50_RS07945		
petC	PMM0462	cytochrome <i>b<sub>6</sub>f</i> complex iron-sulfur subunit	TX50_RS02485	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow // aerobic respiration (succinate to cytochrome <i>c</i> oxidase via plastocyanin) // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Superpathways // Generation of Precursor Metabolites and Energy
cynA	PMM0370	periplasmic cyanate-binding protein	TX50_RS01970		
PMM0918	PMM0918	nucleoside deaminase	TX50_RS04900		
typA	PMM0762	Predicted membrane GTPase	TX50_RS04075		
sufC	PMM0072	Fe-S cluster assembly ATPase SufC	TX50_RS00380		
PMM1233	PMM1233	sugar nucleotide-binding protein	TX50_RS06640		
acpP	PMM1608	acyl carrier protein	TX50_RS08605		
queF	PMM1461	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	TX50_RS07855	queuosine biosynthesis I (<i>de novo</i>)	Nucleic Acid Processing
cyoB	PMM0445	Cytochrome c oxidase subunit I	TX50_RS02395	aerobic respiration (succinate to cytochrome <i>c</i> oxidase via plastocyanin) // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
PMM0349	PMM0349	aminoacyl-tRNA hydrolase	TX50_RS01850		
rpmB	PMM0902	50S ribosomal protein L28	TX50_RS04820		
PMM0745	PMM0745	insulinase family protein	TX50_RS03995		
PMM0051	PMM0051	AAA family ATPase	TX50_RS00270		
PMM1213	PMM1213	glycosyltransferase	TX50_RS06540		
purM	PMM1589	phosphoribosylformylglycinamidine cyclo-ligase	TX50_RS08505	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // 5-aminoimidazole ribonucleotide biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis II	Superpathways // Nucleoside and Nucleotide Biosynthesis
PMM1444	PMM1444	Membrane associated GTPase	TX50_RS07770		
PMM0426	PMM0426	16S rRNA (cytosine(967)-C(5))-methyltransferase	TX50_RS02300		
petD	PMM0326	cytochrome <i>b<sub>6</sub>f</i> complex subunit IV	TX50_RS01695	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow // aerobic respiration (succinate to cytochrome <i>c</i> oxidase via plastocyanin) // NADPH to cytochrome <i>c</i> oxidase via plastocyanin // succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub>	Superpathways // Generation of Precursor Metabolites and Energy
PMM0886	PMM0886	DUF1995 family protein	TX50_RS04735		
arsB	PMM0716	arsenite efflux transporter	TX50_RS03825		
PMM0031	PMM0031	HNH endonuclease	TX50_RS00170		
PMM1196	PMM1196	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	TX50_RS06450	GDP-mannose biosynthesis // D-mannose degradation I	Carbohydrate Biosynthesis // Carbohydrate Degradation
crtD	PMM1566	C-3',4' desaturase CrtD	TX50_RS08385	<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	Secondary Metabolite Biosynthesis
PMM1417	PMM1417	nuclease	TX50_RS07635		
rpsD	PMM0410	30S ribosomal protein S4	TX50_RS02205		
PMM0310	PMM0310	sugar kinase	TX50_RS01610		
PMM0868	PMM0868	RNB domain-containing ribonuclease	TX50_RS04645		
PMM0688	PMM0688	DUF3804 domain-containing protein	TX50_RS03655		
msrB	PMM0015	peptide-methionine (R)-S-oxide reductase MsrB	TX50_RS00090		
PMM1178	PMM1178	glycosyltransferase family 4 protein	TX50_RS06360		
rpsQ	PMM1549	30S ribosomal protein S17	TX50_RS08295		
PMM1387	PMM1387	DUF2839 family protein	TX50_RS07460		
PMM0392	PMM0392	energy-coupling factor transporter transmembrane protein EcfT	TX50_RS02110		
yvcK	PMM0291	YvcK family protein	TX50_RS01510		
ndhV	PMM0845	ferredoxin-quinone oxidoreductase subunit V	TX50_RS04520	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
PMM0669	PMM0669	TIGR00297 family protein	TX50_RS03560		
PMM0842	PMM0842	TldD/PmbA family protein	TX50_RS04505		
ilvN	PMM1154	acetolactate synthase small subunit	TX50_RS06225	L-valine biosynthesis // superpathway of L-isoleucine biosynthesis I // superpathway of branched chain amino acid biosynthesis // L-isoleucine biosynthesis I (from threonine)	Amino Acid Biosynthesis // Superpathways
prfA	PMM1529	peptide chain release factor 1	TX50_RS08200		
PMM1368	PMM1368	DUF2214 family protein	TX50_RS07340		
rsfS	PMM0823	ribosome silencing factor	TX50_RS04410		
pyrE	PMM0275	orotate phosphoribosyltransferase	TX50_RS01430	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // UMP biosynthesis I	Superpathways // Nucleoside and Nucleotide Biosynthesis
trpC	PMM1297	indole-3-glycerol phosphate synthase TrpC	TX50_RS06955	superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	Superpathways // Amino Acid Biosynthesis
PMM0648	PMM0648	GMC family oxidoreductase	TX50_RS03435		
rpsG	PMM1510	30S ribosomal protein S7	TX50_RS08100		
PMM1137	PMM1137	cytochrome B	TX50_RS06130		
pgsA	PMM0798	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	TX50_RS04255		
PMM1346	PMM1346	methyltransferase domain-containing protein	TX50_RS07220		
thiS	PMM1275	sulfur carrier protein ThiS	TX50_RS06850		
cinA	PMM0257	CinA-like protein	TX50_RS01330		
infB	PMM1494	translation initiation factor IF-2	TX50_RS08020		
gltS	PMM0628	Na+/glutamate symporter	TX50_RS03335		
purS	PMM0779	Phosphoribosylformylglycinamidine (FGAM) synthase, PurS component	TX50_RS04160	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // 5-aminoimidazole ribonucleotide biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis II	Superpathways // Nucleoside and Nucleotide Biosynthesis
PMM1110	PMM1110	BolA family transcriptional regulator	TX50_RS05950		
PMM1258	PMM1258	DegT/DnrJ/EryC1/StrS family aminotransferase	TX50_RS06765		
tyrS	PMM1329	tyrosine--tRNA ligase	TX50_RS07135	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
PMM1478	PMM1478	DUF1257 domain-containing protein	TX50_RS07940		
trmB	PMM0240	tRNA (guanosine(46)-N7)-methyltransferase TrmB	TX50_RS01245		
PMM0368	PMM0368	DUF3303 domain-containing protein	TX50_RS01955		
glgA	PMM0609	glycogen synthase GlgA	TX50_RS03240	glycogen biosynthesis I (from ADP-D-Glucose)	Glycan Pathways // Carbohydrate Biosynthesis
PMM0761	PMM0761	D-alanyl-D-alanine carboxypeptidase family protein	TX50_RS04070		
lysA	PMM1090	diaminopimelate decarboxylase	TX50_RS05850	L-lysine biosynthesis VI	Amino Acid Biosynthesis
PMM1232	PMM1232	class I SAM-dependent methyltransferase	TX50_RS06635		
ftsZ	PMM1309	cell division protein FtsZ	TX50_RS07025		
ccsB	PMM1460	cytochrome c biogenesis protein CcsB	TX50_RS07850		
PMM0222	PMM0222	aspartoacylase	TX50_RS01145		
PMM0346	PMM0346	DUF4090 family protein	TX50_RS01835		
PMM0592	PMM0592	lipase	TX50_RS03155	triacylglycerol degradation	Fatty Acid and Lipid Degradation
PMM0744	PMM0744	DUF3148 domain-containing protein	TX50_RS03990		
folD	PMM1069	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	TX50_RS05740	superpathway of tetrahydrofolate biosynthesis and salvage // tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate // formaldehyde oxidation VII (THF pathway) // folate transformations III (<i>E. coli</i>)	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis // C1 Compound Utilization and Assimilation
PMM1211	PMM1211	polysaccharide export or synthesis protein	TX50_RS06530		
rplJ	PMM0202	50S ribosomal protein L10	TX50_RS01045		
PMM1443	PMM1443	DUF21 domain-containing protein	TX50_RS07765		
PMM1421	PMM1421	DUF3721 domain-containing protein	TX50_RS09370		
petB	PMM0325	cytochrome <i>b<sub>6</sub></i>	TX50_RS01690	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow // aerobic respiration (succinate to cytochrome <i>c</i> oxidase via plastocyanin) // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Superpathways // Generation of Precursor Metabolites and Energy
trpA	PMM0572	Tryptophan synthase alpha chain	TX50_RS03055	superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	Superpathways // Amino Acid Biosynthesis
arsR	PMM0714	ArsR-type transcriptional regulator	TX50_RS03810		
PMM1052	PMM1052	SufE family protein	TX50_RS05655		
rsmI	PMM1193	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	TX50_RS06435		
PMM0185	PMM0185	MBL fold metallo-hydrolase	TX50_RS00960		
PMM1415	PMM1415	UBX domain protein	TX50_RS07625		
PMM1714	PMM1714	AarF/ABC1/UbiB kinase family protein	TX50_RS09150		
PMM0308	PMM0308	TVP38/TMEM64 family protein	TX50_RS01595		
csoS4B	PMM0555	hexameric carboxysome shell protein CsoS4B	TX50_RS02965		
PMM0684	PMM0684	DUF1651 domain-containing protein	TX50_RS03635		
PMM1026	PMM1026	DUF1499 domain-containing protein	TX50_RS05520		
PMM1177	PMM1177	glycosyltransferase family 39 protein	TX50_RS06355		
rer03	PMM0169	response regulator transcription factor 3	TX50_RS00880		
PMM1386	PMM1386	YjgP/YjgQ family permease	TX50_RS07455		
PMM1697	PMM1697	type II alternative RNA polymerase sigma factor, sigma-70 family	TX50_RS09060		
PMM0290	PMM0290	ATP-binding cassette domain-containing protein	TX50_RS01505		
folE	PMM0536	GTP cyclohydrolase I	TX50_RS02870	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // preQ<sub>0</sub> biosynthesis // 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I // erythro-tetrahydrobiopterin biosynthesis I	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis // Secondary Metabolite Biosynthesis
PMM0668	PMM0668	16S rRNA (uracil(1498)-N(3))-methyltransferase	TX50_RS03555		
PMM0993	PMM0993	peptidase E	TX50_RS05300		
PMM1153	PMM1153	alpha/beta fold hydrolase	TX50_RS06220		
cugP	PMM0152	UTP--glucose-1-phosphate uridylyltransferase	TX50_RS00795	sucrose biosynthesis I (from photosynthesis) // UDP-&alpha;-D-glucose biosynthesis	Superpathways // Carbohydrate Biosynthesis
PMM1367	PMM1367	DUF1643 domain-containing protein	TX50_RS07335		
lig	PMM1679	ATP-dependent DNA ligase	TX50_RS08970		
PMM0274	PMM0274	HlyC/CorC family transporter	TX50_RS01420		
tal	PMM0519	transaldolase	TX50_RS02785	pentose phosphate pathway // pentose phosphate pathway (non-oxidative branch) I // Rubisco shunt	Superpathways // Generation of Precursor Metabolites and Energy
PMM0647	PMM0647	DUF2811 domain-containing protein	TX50_RS03430		
urtA	PMM0970	periplasmic urea-binding protein	TX50_RS05160		
hli14	PMM1135	high light inducible protein Hli14	TX50_RS06110		
radA	PMM0133	DNA repair protein RadA	TX50_RS00700		
rpmA	PMM1345	50S ribosomal protein L27	TX50_RS07215		
PMM1659	PMM1659	glycosyltransferase family 2 protein	TX50_RS08865		
leuC	PMM0256	3-isopropylmalate dehydratase large subunit	TX50_RS01325	superpathway of branched chain amino acid biosynthesis // L-leucine biosynthesis	Superpathways // Amino Acid Biosynthesis
argB	PMM0499	acetylglutamate kinase	TX50_RS02685	L-arginine biosynthesis I (via L-ornithine) // L-arginine biosynthesis II (acetyl cycle) // L-ornithine biosynthesis I	Superpathways // Amino Acid Biosynthesis
pcbA	PMM0627	chlorophyll <i>a/b</i>-binding light harvesting protein PcbA	TX50_RS03330		
PMM0953	PMM0953	DUF3288 family protein	TX50_RS05070		
PMM1108	PMM1108	1-acyl-sn-glycerol-3-phosphate acyltransferase	TX50_RS05940	CDP-diacylglycerol biosynthesis I // oleate biosynthesis III (cyanobacteria)	Fatty Acid and Lipid Biosynthesis
PMM0108	PMM0108	chlororespiratory reduction protein 7	TX50_RS00575		
pyrF	PMM1328	orotidine-5'-phosphate decarboxylase	TX50_RS07130	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // UMP biosynthesis I	Superpathways // Nucleoside and Nucleotide Biosynthesis
ribH	PMM1643	6,7-dimethyl-8-ribityllumazine synthase	TX50_RS08785	flavin biosynthesis I (bacteria and plants)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0239	PMM0239	DUF3177 family protein	TX50_RS01240		
PMM0479	PMM0479	phosphotransacetylase family protein	TX50_RS02580		
menB	PMM0608	1,4-dihydroxy-2-naphthoyl-CoA synthase	TX50_RS03235	2-carboxy-1,4-naphthoquinol biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis
rsmA	PMM0933	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA	TX50_RS04975		
PMM1089	PMM1089	GNAT family N-acetyltransferase	TX50_RS05845		
PMM0090	PMM0090	trypsin-like serine protease	TX50_RS00480		
PMM1308	PMM1308	FtsQ-type POTRA domain-containing protein	TX50_RS07020		
tsaE	PMM1626	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	TX50_RS08695	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	Nucleic Acid Processing
PMM0221	PMM0221	glutathione S-transferase family protein	TX50_RS01140		
PMM0460	PMM0460	prolipoprotein diacylglyceryl transferase	TX50_RS02475	lipoprotein posttranslational modification	Protein Modification
folB	PMM0591	dihydroneopterin aldolase	TX50_RS03150	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis
PMM0916	PMM0916	Membrane associated GTPase	TX50_RS04890		
PMM1068	PMM1068	HDIG domain-containing protein	TX50_RS05735		
sufS	PMM0070	SufS family cysteine desulfurase	TX50_RS00370	L-alanine biosynthesis III // superpathway of thiamine diphosphate biosynthesis II // thiazole component of thiamine diphosphate biosynthesis II // [2Fe-2S] iron-sulfur cluster biosynthesis	Amino Acid Biosynthesis // Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis
rplL	PMM0201	50S ribosomal protein L7/L12	TX50_RS01040		
glmS	PMM1606	glutamine--fructose-6-phosphate transaminase (isomerizing)	TX50_RS08595	UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I	Carbohydrate Biosynthesis
PMM1363	PMM1363	DUF3721 domain-containing protein	TX50_RS09365		
ribE	PMM0442	riboflavin synthase	TX50_RS02380	flavin biosynthesis I (bacteria and plants)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0571	PMM0571	DUF3007 family protein	TX50_RS03050		
hisZ	PMM0900	ATP phosphoribosyltransferase regulatory subunit	TX50_RS04810	L-histidine biosynthesis	Amino Acid Biosynthesis
thrA	PMM1051	homoserine dehydrogenase	TX50_RS05650	superpathway of L-threonine biosynthesis // superpathway of L-homoserine and L-methionine biosynthesis // superpathway of L-isoleucine biosynthesis I // superpathway of L-methionine biosynthesis (transsulfuration) // superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis // L-homoserine biosynthesis	Superpathways // Amino Acid Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis
coaE	PMM0049	dephospho-CoA kinase	TX50_RS00260	coenzyme A biosynthesis I (prokaryotic)	Cofactor, Carrier, and Vitamin Biosynthesis
pabA	PMM0184	aminodeoxychorismate/anthranilate synthase component II	TX50_RS00955	superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis // L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent) // superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // 4-aminobenzoate biosynthesis I	Superpathways // Amino Acid Biosynthesis // Amino Acid Degradation // Aminoacyl-tRNA Charging // Cofactor, Carrier, and Vitamin Biosynthesis // Aromatic Compound Biosynthesis
PMM1583	PMM1583	cofactor assembly of complex C subunit B	TX50_RS08475		
PMM1713	PMM1713	AAA family ATPase	TX50_RS09145		
PMM0424	PMM0424	TIGR03643 family protein	TX50_RS02285		
csoS4A	PMM0554	pentameric carboxysome shell protein CsoS4A	TX50_RS02960		
coaD	PMM0884	pantetheine-phosphate adenylyltransferase	TX50_RS04725	coenzyme A biosynthesis I (prokaryotic)	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1025	PMM1025	OsmC family protein	TX50_RS05505		
PMM0029	PMM0029	SDR family oxidoreductase	TX50_RS00160		
chlM	PMM0168	magnesium-protoporphyrin IX methyltransferase	TX50_RS00875	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	Tetrapyrrole Biosynthesis
PMM1564	PMM1564	DNA helicase	TX50_RS08375		
ppk	PMM1696	polyphosphate kinase	TX50_RS09055	polyphosphate metabolism	Inorganic Nutrient Metabolism
PMM0408	PMM0408	Cystathionine beta-lyase/cystathionine gamma-synthase	TX50_RS02195	<i>S</i>-(6-hydroxy-4-methylhexan-4-yl)-L-cysteinylglycine degradation // superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis // superpathway of L-homoserine and L-methionine biosynthesis // superpathway of L-methionine biosynthesis (transsulfuration) // L-methionine biosynthesis I	Secondary Metabolite Degradation // Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis // Amino Acid Biosynthesis
PMM0535	PMM0535	SDR family oxidoreductase	TX50_RS02865		
lptC	PMM0866	periplasmic lipopolyprotein-binding protein	TX50_RS04635		
PMM0990	PMM0990	NAD(P)/FAD-dependent oxidoreductase	TX50_RS05280		
argH	PMM0012	argininosuccinate lyase	TX50_RS00075	L-arginine biosynthesis II (acetyl cycle) // urea cycle // L-arginine biosynthesis I (via L-ornithine)	Amino Acid Biosynthesis // Inorganic Nutrient Metabolism // Superpathways
PMM0151	PMM0151	chromosome segregation protein ScpA	TX50_RS00790		
rplX	PMM1547	50S ribosomal protein L24	TX50_RS08285		
PMM1677	PMM1677	SprT family zinc-dependent metalloprotease	TX50_RS08960		
PMM0840	PMM0840	DUF475 domain-containing protein	TX50_RS04495		
PMM0518	PMM0518	penicillin-binding protein 2	TX50_RS02780	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	Cell Structure Biosynthesis
alr	PMM1527	alanine racemase	TX50_RS08190	alanine racemization	Amino Acid Biosynthesis
